Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   2301, Model: 2, Candidate: 2, Correct? Yes
Position:  71112, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 172766, Model: 2, Candidate: 2, Correct? Yes
Position: 206498, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   6023, Model: 2, Candidate: 2, Correct? Yes
Position: 197622, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 123008, Model: 2, Candidate: 2, Correct? Yes
Position: 202016, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   3456, Model: 2, Candidate: 2, Correct? Yes
Position:   9625, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:   6822, Model: 2, Candidate: 2, Correct? Yes
Position:  68627, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  45825, Model: 2, Candidate: 2, Correct? Yes
Position: 164063, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  43644, Model: 2, Candidate: 2, Correct? Yes
Position: 207529, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  49802, Model: 2, Candidate: 2, Correct? Yes
Position: 146769, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  84162, Model: 2, Candidate: 2, Correct? Yes
Position:  91419, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  46729, Model: 2, Candidate: 2, Correct? Yes
Position:  49504, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  24893, Model: 2, Candidate: 2, Correct? Yes
Position: 104361, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  22400, Model: 2, Candidate: 2, Correct? Yes
Position: 252835, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  22031, Model: 2, Candidate: 2, Correct? Yes
Position:  60241, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position: 141974, Model: 2, Candidate: 2, Correct? Yes
Position: 178522, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
Position:  13219, Model: 2, Candidate: 2, Correct? Yes
Position: 122143, Model: 3, Candidate: 3, Correct? Yes
Position:      0, Model: 1, Candidate: 1, Correct? Yes
